/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-5 --rdrop_coef 0
eprstmt
epoch:9, test_accuracy:50.000, total_num:610
global step 10, epoch: 10, batch: 1, loss: 1.39458, speed: 0.31 step/s
epoch:10, dev_accuracy:59.375, total_num:32
epoch:10, test_accuracy:50.000, total_num:610
epoch:11, dev_accuracy:40.625, total_num:32
epoch:11, test_accuracy:50.000, total_num:610
epoch:12, dev_accuracy:40.625, total_num:32
epoch:12, test_accuracy:50.000, total_num:610
epoch:13, dev_accuracy:40.625, total_num:32
epoch:13, test_accuracy:50.000, total_num:610
epoch:14, dev_accuracy:59.375, total_num:32
epoch:14, test_accuracy:50.000, total_num:610
epoch:15, dev_accuracy:59.375, total_num:32
epoch:15, test_accuracy:50.000, total_num:610
epoch:16, dev_accuracy:59.375, total_num:32
epoch:16, test_accuracy:50.000, total_num:610
epoch:17, dev_accuracy:59.375, total_num:32
epoch:17, test_accuracy:50.000, total_num:610
epoch:18, dev_accuracy:40.625, total_num:32
epoch:18, test_accuracy:50.000, total_num:610
epoch:19, dev_accuracy:40.625, total_num:32
epoch:19, test_accuracy:50.000, total_num:610
global step 20, epoch: 20, batch: 1, loss: 0.76081, speed: 0.31 step/s
epoch:20, dev_accuracy:40.625, total_num:32
epoch:20, test_accuracy:50.000, total_num:610
/home/modelfun/anaconda3/envs/paddle/bin/python ptunning.py --task_name eprstmt --p_embedding_num 1 --learning_rate 5e-3 --rdrop_coef 0.1
eprstmt
epoch:1, dev_accuracy:40.625, total_num:32
epoch:1, test_accuracy:50.000, total_num:610
epoch:2, dev_accuracy:59.375, total_num:32
epoch:2, test_accuracy:50.000, total_num:610
epoch:3, dev_accuracy:59.375, total_num:32
epoch:3, test_accuracy:50.000, total_num:610
epoch:4, dev_accuracy:59.375, total_num:32
epoch:4, test_accuracy:50.000, total_num:610
epoch:5, dev_accuracy:40.625, total_num:32
epoch:5, test_accuracy:50.000, total_num:610
epoch:6, dev_accuracy:40.625, total_num:32
epoch:6, test_accuracy:50.000, total_num:610
epoch:7, dev_accuracy:40.625, total_num:32
epoch:7, test_accuracy:50.000, total_num:610
epoch:8, dev_accuracy:40.625, total_num:32
epoch:8, test_accuracy:50.000, total_num:610
epoch:9, dev_accuracy:59.375, total_num:32
epoch:9, test_accuracy:50.000, total_num:610
global step 10, epoch: 10, batch: 1, loss: 3.62172, speed: 0.32 step/s
epoch:10, dev_accuracy:59.375, total_num:32
epoch:10, test_accuracy:50.000, total_num:610
epoch:11, dev_accuracy:59.375, total_num:32
epoch:11, test_accuracy:50.000, total_num:610
epoch:12, dev_accuracy:59.375, total_num:32
epoch:12, test_accuracy:50.000, total_num:610
epoch:13, dev_accuracy:40.625, total_num:32
epoch:13, test_accuracy:50.000, total_num:610
epoch:14, dev_accuracy:40.625, total_num:32
epoch:14, test_accuracy:50.000, total_num:610
epoch:15, dev_accuracy:40.625, total_num:32
epoch:15, test_accuracy:50.000, total_num:610
epoch:16, dev_accuracy:40.625, total_num:32
epoch:16, test_accuracy:50.000, total_num:610
epoch:17, dev_accuracy:40.625, total_num:32
epoch:17, test_accuracy:50.000, total_num:610
epoch:18, dev_accuracy:59.375, total_num:32
epoch:18, test_accuracy:50.000, total_num:610
epoch:19, dev_accuracy:59.375, total_num:32
epoch:19, test_accuracy:50.000, total_num:610
